"summons_number","plate_id","registration_state","plate_type","issue_date","violation_code","vehicle_body_type","vehicle_make","issuing_agency","street_code1","street_code2","street_code3","vehicle_expiration_date","violation_location","violation_precinct","issuer_precinct","issuer_code","issuer_command","issuer_squad","violation_time","time_first_observed","violation_county","violation_in_front_of_or_opposite","house_number","street_name","intersecting_street","date_first_observed","law_section","sub_division","violation_legal_code","days_parking_in_effect","from_hours_in_effect","to_hours_in_effect","vehicle_color","unregistered_vehicle","vehicle_year","meter_number","feet_from_curb","violation_post_code","violation_description","no_standing_or_stopping_violation","hydrant_violation","double_parking_violation","fiscal_year"
"1498956245","63306NF","NY","COM",,"78","TC","FORD","P","59530","85730","85330","20261030","79","79","79","974895","79","0","1059P",,"K","F","100","MAC DONOUGH ST",,"0","408","F1",,"BBBBBBB","ALL","ALL","WHITE","0","2006","-","0",,,,,,"2026"
"1499422957","L6X8088","NY","PAS",,"46","SUBN","JEEP","P","36490","11710","13610","20260225","30","30","30","980095","30","0","0928P",,,,"518","W 136",,"0","408","E2",,"BBBBBBB","ALL","ALL","RD","0","2021","-","0",,,,,,"2026"
"1500520755","LWH2362","NY","PAS",,"46","SDN","TOYOT","P","25800","78150","15820","20250309","40","40","40","980684","40","0","0109A","0109A",,"F","415","EAST 138 ST",,"0","408","F2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1498973541","LRM3121","NY","PAS",,"98","SDN","MAZDA","P","7890","6090","6740","20260119","114","114","114","970167","114","0","0400A",,"Q","F","14-28","30 RD",,"0","408","J2",,"BBBBBBB","ALL","ALL","BLK","0","2013","-","0",,,,,,"2026"
"1500384045","LTV5344","NY","PAS",,"40",,"ACURA","P","0","40404","40404","88888888","104","104","104","977717","104","0","0004A",,"Q","I","6552","16 PLACE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","2022","-","0",,,,,,"2026"
"1498747607","RHY2454","NC","PAS",,"46","SUBN","DODGE","P","36090","10610","10810","0","28","28","28","969475","28","0","0402P",,"NY","F","239","W 116 ST",,"0","408","C",,"BBBBBBB","ALL","ALL","BK","0","0","-","0",,,,,,"2026"
"1501012976","C211868","CT","COM",,"98","VAN","FORD","P","16630","10880","19030","0","62","62","62","975202","62","0","1145P",,"K","F","28","BAY 26",,"0","408","F2",,"BBBBBBB","ALL","ALL","WH","0","0","-","0",,,,,,"2026"
"1501022623","21718ML","NY","COM",,"78","VAN","FORD","P","90880","14330","14380","20260131","62","62","62","974767","62","0","1230A",,"K","F","1544","WEST 8 STREET",,"0","408","E2",,"BBBBBBB","ALL","ALL","WH","0","2018","-","0",,,,,,"2026"
"1498141110","OPW37","PA","PAS",,"98",,"HONDA","P","36580","26630","55330","0","67","67","67","978229","67","0","0935P",,"K","F","78","E 39 ST",,"0","408","K6",,"BBBBBBB","ALL","ALL","GRY","0","0","-","0",,,,,,"2026"
"1495819565","405JYB","MA","PAS",,"14",,"NISSA","P","20670","81830","0","0","60","60","60","975995","60","0","0747P",,,"F",,"BOWERY","STILLWELL AVE","0","408","E2",,"BBBBBBB","ALL","ALL","BLK","0","2013","-","0",,,,,,"2026"
"1500426969","C18PEX","NJ","PAS",,"45","SDN","FORD","P","11010","37670","37690","88888888","34","34","34","979393","34","0","0827P",,"NY","F","3869","10 AVE",,"0","408","J2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1495808981","LPW6606","NY","PAS",,"98","SDN","CHRYS","P","37330","55330","56230","20261023","67","67","67","977307","67","0","1039A",,,"F","62","EAST 57 ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","GREY","0","2006","-","0",,,,,,"2026"
"1499890941","C057478","CT","COM",,"78","VAN","CHEVR","P","67460","22390","65145","0","116","116","116","973948","116","0","0934P","0930P","Q","O","137-78","WESTGATE STREET",,"0","408","K6",,"BBBBBBB","ALL","ALL","WHI","0","2004","-","0",,,,,,"2026"
"1500276479","LDF2537","NY","PAS",,"21","SUBN","JEEP","P","80430","87330","86330","20250831","77","77","77","973223","77","0","0900A",,"K","F","238","SAINT MARKS AVE",,"0","408","E2",,"YYYYYBB","0200A","0400P",,"0","0","-","0",,,,,,"2026"
"1499997980","LKK8614","NY","PAS",,"98","SUBN","CHEVR","P","79730","69230","63030","0","79","79","79","975124","79","0","1120A","1120A",,"F","89","SPENCER STREET",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLACK","0","0","-","0",,,,,,"2026"
"1500316660","JMY4360","99","PAS",,"40","SDN",,"P","5680","8580","8630","0",,"0","72","968523","72","0",,,,,"4015","6 AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","GRAY","0","1999","-","0",,,,,,"2026"
"1500863312","B75YZE","NJ","PAS",,"98","SUBN","ACURA","P","10330","28230","73330","20250931","68","68","68","963042","68","0","0119P",,"K","F","143","BAYRIDGE PARKWAY",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLCK","0","0","-","0",,,,,,"2026"
"1501256117","BLANKPLATE","99","999",,"98","SDN","HONDA","P","56230","39300","12400","20250522","75","75","75","976202","O075","0","0903A",,"K","F","2858","LINDEN BLVD",,"0","408","E3",,"BBBBBBB","ALL","ALL","GREY","0","2009","-","0",,,,,,"2026"
"1499790193","V65VPC","NJ","PAS",,"21","SUBN","ACURA","P","19040","8590","8790","0","115","115","115","976359","115","0","0255P","0255P","Q","F","35-46","97 ST",,,"408","F2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,,"2026"
"1500140284","UW76MK","NJ","PAS",,"21",,"FORD","P","90880","64230","76330","0","60","60","60","971362","60","0","0710A",,"K",,"2801","WEST 8 STREET",,"0","408","D",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1500027911","8DL692","MA","PAS",,"14","SDN","HONDA","P","90330","23230","23930","0","83","83","83","974175","83","0","0137P",,"K","F","14","WEIRFIELD ST",,"0","408","C",,"BBBBBBB","ALL","ALL","GRY","0","2014","-","0",,,,,,"2026"
"1498752895","L3YVRG","NJ","PAS",,"51","SDN","CHRYS","P","36370","15910","11710","20260131","26","26","26","975221","26","0","0635P",,,"F","488","WEST 130 STREET",,"0","408","J2",,"BBBBBBB","ALL","ALL","GRAY","0","2014","-","0",,,,,,"2026"
"1500384124","LPJ7087","NY","PAS",,"40","SDN","ME/BE","P","13640","56490","39690","20260725","104","104","104","977717","104","0","0118A",,"Q","F","72-29","65 PLACE",,"0","408","E2",,"BBBBBBB","ALL","ALL","GRY","0","2014","-","0",,,,,,"2026"
"1500384100","HTL8862","NY","PAS",,"40","SDN","HONDA","P","15640","38290","12440","20250817","104","104","104","977717","104","0","0555A",,"Q","F","59-07","74 ST",,"0","408","N2",,"BBBBBBB","ALL","ALL","GRN","0","1995","-","0",,,,,,"2026"
"1493846401","BLANKPLATE","99","999",,"40","DELV","AUDI","P","69120","53520","47520","88888888","49","49","49","969158","49","0","0904A",,,"F","2021","TOMLINSON AVE",,"0","408","E3",,"BBBBBBB","ALL","ALL","SILVE","0","0","-","0",,,,,,"2026"
"1498776668","RVYG12","99","PAS",,"46","SDN","TESLA","P","36690","11710","13610","88888888","30","30","30","977551","30","0","1022P",,,"F","521","W 146 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLUE","0","0","-","0",,,,,,"2026"
"1500492085","KBW9439","NY","PAS",,"62","SDN","HONDA","P","22320","27150","27270","20260331","48","48","48","980852","48","0","0918P",,"BX","O","2290","CROTONA AVE",,"0","408","E3",,"BBBBBBB","ALL","ALL","GREY","0","2022","-","0",,,,,,"2026"
"1495898623","HIMADRI","NY","OMT",,"46","SDN","TESLA","P","10210","17550","17570","20251031","13","13","13","973918","13","0","0244A","0244A",,"F","395","3RD AVE",,"0","408","C",,"BBBBBBB","ALL","ALL","WT","0","2023","-","0",,,,,,"2026"
"1492552185","JZU4944","OH","PAS",,"98",,,"P","13240","19190","19540","20251020",,"0","112","971308","112","0","1124P","1124P",,,"99-20","64 AVE",,,"408","D",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1493856297","BLANKPLATE","99","999",,"40","SUBN","FORD","P","34020","73420","35720","88888888","43","43","43","978500","43","0","0050A",,"BX","F","1149","FTELEY AVENUE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHTE","0","2015","-","0",,,,,,"2026"
"1501239338","LWD2165","NY","PAS",,"46","SUBN","JEEP","P","61730","85730","85330","20270515","79","79","79","980977","79","0","0623P","0619P","K","F","366A","MONROE ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLU","0","2023","-","0",,,,,,"2026"
"1493945919","M12PCV","NJ","PAS",,"98","SUBN","NISSA","P","19700","34886","55100","20240220","121","121","121","971599","121","0","0851A",,,"F","215","BRADLEY AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","GRAY","0","0","-","0",,,,,,"2026"
"1500541977","LVS2612","99","PAS",,"98","SDN","VOLKS","P","41350","40340","13820","20270418","47","47","47","972438","47","0","1045A",,"BX","F","3552","HUGUENOT AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","WHITE","0","2014","-","0",,,,,,"2026"
"1500960019","359461T","NJ","PAS",,"74","SDN","JEEP","P","26730","56820","73120","0","42","42","42","980954","42","0","1111P",,"BX","F","460","E 169 ST",,"0","408","F1",,"BBBBBBB","ALL","ALL","GRY","0","2014","-","0",,,,,,"2026"
"1495944529","EREN","NY","PAS",,"67","SDN",,"P","10540","11380","10910","20250119","108","108","108","977422","108","0","0119P",,"Q","F","5138","47 ST",,"0","408","C",,"BBBBBBB","ALL","ALL","BLK","0","2020","-","0",,,,,,"2026"
"1500968869","LDL8677","NY","PAS",,"40","SUBN","MAZDA","P","20820","27540","57720","20250416",,"0","45","977732","45","0",,,,"F","2117","COLONIAL",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLUE","0","2023","-","0",,,,,,"2026"
"1501200811","LTE1785","NY","PAS",,"40","SDN","ACURA","P","17540","7790","7990","20270118","115","115","115","964080","115","0","0615A",,"Q","F","30-64","86 ST",,"0","408","C",,"BBBBBBB","ALL","ALL",,"0","2013","-","0",,,,,,"2026"
"1500024211","BLANKPLATE","99","999",,"67","SUBN","BMW","P","55530","87230","45930","88888888","81","81","81","943858","81","0",,,,"F","186","LEWIS AVENUE",,"0","408","F2",,"BBBBBBB","ALL","ALL","GRY","0","2009","-","0",,,,,,"2026"
"1498048092","TMT8349","VA","PAS",,"46","SDN","INFIN","P","26230","86630","37030","0","67","67","69","979637","69","0","0651P",,,,"5011","CHURCH AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1496788059","ZXR8676","PA","PAS",,"53","P-U","RAM","K","13350","0","0","88888888","104","104","3","160199","3","0","0805P",,"Q","I",,"HIGHLAND PARK","PARKING LOT","0","408","E5",,"BBBBBBB","ALL","ALL","BLK","0","0","-","0",,,,,,"2026"
"1500952655","BLANKPLATE","99","999",,"41",,,"P","0","0","0","0",,"0","50","978268","50","0",,,,,,,,"0","408","F2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1501351035","GLPN472","CA","PAS",,"19","SDN","AUDI","P","28265","22840","22890","20260308","103","103","103","980446","103","0","1244A","1244A","Q","O","143-13","ARCHER AVE",,,"408","D",,"BBBBBBB","ALL","ALL","WHITE","0","2024","-","0",,,,,,"2026"
"1500515632","KPZ5973","99","PAS",,"98","SUBN","TOYOT","P","0","40404","40404","20250706","49","49","49","963881","49","0","1148P",,,"F","1620","WILLIAMSBRIDGE",,"0","408","E9",,"BBBBBBB","ALL","ALL","WHT","0","2021","-","0",,,,,,"2026"
"1501510770","D47SDK","NJ","PAS",,"46","SUBN","HONDA","P","0","40404","40404","0","34","34","34","979358","34","0",,,"NY","F","3795","16 AVE",,"0","408","C",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1500526952","787AF3","NY","999",,"70",,,"P","64020","41620","42220","20230430","41","41","41","973667","41","0","0200P",,,"F","1200","SENECA AVE",,"0","408","J2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1500976684","BLANKPLATE","99","999",,"71","SUBN","GMC","P","14820","10420","55520","0","49","49","49","980882","49","0","1211A",,"BX","F","650","BRITTON ST",,"0","408","F1",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,,"2026"
"1500833071","TB4964","99","PAS",,"40","SDN","FORD","P","10480","5580","5680","0","68","68","68","967887","68","0","0941A",,,"F","543","78 ST",,"0","408","C3",,"BBBBBBB","ALL","ALL","GRY","0","0","-","1",,,,,,"2026"
"1499404130","BLANKPLATE","99","999",,"19","SDN","INFIN","P","11010","37626","37628","0","34","34","33","979587","33","0","0151A",,"NY","F","3775","10TH AVE",,"0","408","E5",,"BBBBBBB","ALL","ALL","BL","0","2011","-","0",,,,,,"2026"
"1501015140","LJY3008","NY","PAS",,"40","SUBN","BMW","P","91130","14530","14580","20280404",,"0","62","979008","62","0","0513P","1713P","K","F","1904","W 13 ST",,"0","408","C",,"BBBBBBB","ALL","ALL","BLK","0","0","-","0",,,,,,"2026"
"1500426581","BCD2497","NY","PAS",,"19","SDN","VOLKS","P","11010","37626","37628","20251102","31","31","34","980044","34","0","0301A",,"R","F","3775","10TH AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","GRAY","0","0","-","0",,,,,,"2026"
"1493046240","KSF4811","NY","PAS",,"98","SDN","TOYOT","P","14180","37130","37180","20251126","63","63","63","967490","63","0","0813A",,"K",,"5323","AVENUE L",,"0","408","E3",,"BBBBBBB","ALL","ALL","WHITE","0","2018","-","0",,,,,,"2026"
"1500357145","LTT8900","NY","PAS",,"40","VAN","FORD","P","16590","38290","43490","88888888","104","104","104","977717","104","0","0517A",,"Q","F","60-69","80 ST",,"0","408","K6",,"BBBBBBB","ALL","ALL","WHI","0","2018","-","0",,,,,,"2026"
"1500961887","T625709C","NY","PAS",,"41","SDN","TOYOT","P","42620","33620","0","20260131","42","42","42","980940","42","0","1049P","1043P","BX","F",,"JEFFERSON PL","FRANKLIN AVE","0","408","J3",,"BBBBBBB","ALL","ALL","GRY","0","2016","-","0",,,,,,"2026"
"1501003070","CP22713","NY","PAS",,"67","SDN","NISSA","P","23920","27480","27510","20261024","52","52","52","979784","52","0","0203A","0159A","BX",,"2668","DECATUR",,"0","408","A1",,"BBBBBBB","ALL","ALL","BLK","0","2025","-","0",,,,,,"2026"
"1500183829","BLANKPLATE","99","999",,"41",,,"P","0","0","0","0","67","67","67","980694","67","0",,,,,,,,"0","408","E2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1500516314","JPU9093","NY","PAS",,"74","SUBN","BMW","P","14820","10420","55520","20260416","49","49","49","980882","49","0","1200A",,"BX","F","650","BRITTON ST",,"0","408","J3",,"BBBBBBB","ALL","ALL","GRAY","0","2020","-","0",,,,,,"2026"
"1493110330","BLANKPLATE","99","999",,"51","SUBN","HONDA","P","0","40404","40404","88888888","43","43","43","974337","43","0","0725P",,"BX","F","252","NEW MAN",,"0","408","F1",,"BBBBBBB","ALL","ALL","SILVE","0","2008","-","0",,,,,,"2026"
"1489092584","KNM7006","NY","PAS",,"14","SDN","LEXUS","P","26760","20020","0","20250713","44","44","44","980160","44","0","1025P","1025P","BX","I",,"E 170","CLAY AVE",,"408","F1",,"BBBBBBB","ALL","ALL","GREY","0","0","-","0",,,,,,"2026"
"1489171447","KMZ3696","99","PAS",,"46",,,"P","0","0","0","20270302",,"0","44","979713","44","0","0932P",,,"I",,,,"0","408","F1",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1500384161","T722532C","NY","OMT",,"14","SUBN","HONDA","P","65770","39690","41700","20251031","104","104","104","977717","104","0","0058A",,"Q","F","10","VALENTINE",,"0","408","J2",,"BBBBBBB","ALL","ALL","WHT","0","2015","-","0",,,,,,"2026"
"1500311728","LRB6724","NY","PAS",,"40","SDN","TOYOT","P","90330","40030","25330","20261218","83","83","83","967474","83","0","0545A",,,"F","123","WEIRFIELD ST",,"0","408","E3",,"BBBBBBB","ALL","ALL","GRY","0","2025","-","0",,,,,,"2026"
"1499706080","22862MH","NY","PAS",,"17",,"FRUEH","P","34630","11720","11110","20260301","18","18","18","977111","18","0","0200P","1100A",,,"505","W 43",,"0","408","C",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1499791811","PSG9704","99","PAS",,"40","SUBN","JEEP","P","8990","20590","20740","88888888","115","115","115","766233","115","0","1105P",,,"F","112-01","38 AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","G","0","0","-","1",,,,,,"2026"
"1484562227","LUF9217","NY","PAS",,"40","SUBN","VOLKS","P","0","40404","40404","20270325","42","42","42","980456","42","0","1015P",,"BX","F","1368","WEBSTER",,"0","408","E2",,"BBBBBBB","ALL","ALL",,"0","0","-","2",,,,,,"2026"
"1501239533","K55SRK","NJ","PAS",,"46","SDN","HONDA","P","42730","12930","67030","20270120","79","79","79","980619","79","0","0708P",,"K","F","1275","FULTON STREET",,"0","408","F1",,"BBBBBBB","ALL","ALL","SIL","0","2011","-","0",,,,,,"2026"
"1497909417","KSU9205","NY","PAS",,"17","SUBN","ME/BE","P","34170","10610","10810","20250927","10","10","10","965249","10","0","0905A",,,"F","222","W 20 ST",,"0","408","D",,"BYYYYYY","ALL","ALL","PNK","0","2010","-","0",,,,,,"2026"
"1499019907","E16HGV","NJ","PAS",,"41","SDN",,"P","12665","6990","6970","20260131","114","114","114","979953","114","0","1146P",,"Q","I",,"ASTORIA PK",,"0","408","A1",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1493922087","LNX3337","NY","PAS",,"14","SUBN","NISSA","P","44675","27480","28135","20260912",,"0","121","949320","121","0","0940A",,"R","I","280","REGIS DR",,"0","408","A1",,"BBBBBBB","ALL","ALL","WH","0","2009","-","0",,,,,,"2026"
"1500712840","LVJ3155","NY","PAS",,"19","SUBN","BMW","P","27097","53890","0","20270402","105","105","105","975843","105","0","0329A","0329A","Q","I",,"231 ST","LINDEN BLVD","0","408","C3",,"BBBBBBB","ALL","ALL","BLU","0","2022","-","0",,,,,,"2026"
"1499258770","LWL9629","NY","PAS",,"40",,"VOLVO","P","0","0","0","0","67","67","67","979366","67","0","0130A","0125A","K","F",,,,,"408","F1",,"BBBBBBB","ALL","ALL","GR","0","0","-","0",,,,,,"2026"
"1495733178","KSJ2616","NY","PAS",,"67","SUBN","JEEP","P","0","40404","40404","20251004","49","49","49","972551","49","0","0506P","0506P","BX","F","1900","REDCLIFF AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLK","0","2006","-","0",,,,,,"2026"
"1489170194","KLK8856","NY","PAS",,"46","SUBN","HONDA","P","0","40404","40404","20250731","44","44","44","980782","44","0","0720P",,,"F","1150","ANDERSON",,"0","408","F1",,"BBBBBBB","ALL","ALL","BLK","0","2014","-","0",,,,,,"2026"
"1501209243","T729793C","99","PAS",,"40","SUBN","AUDI","P","16140","7990","8190","88888888",,"0","115","966357","115","0","0527P",,,"F","31-52","77 STREET",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLK","0","0","-","0",,,,,,"2026"
"1500807035","LDV2624","NY","PAS",,"21","SUBN","HONDA","P","0","40404","40404","20250821","84","84","84","976101","84","0","0642P",,"K","F","334","FURMAN",,"0","408","D1",,"BBBBBBB","ALL","ALL","RED","0","2025","-","0",,,,,,"2026"
"1474725454","HFA7536","NY","PAS",,"27","SUBN","NISSA","P","10810","97940","22450","20260212","32","32","806","980291","806","0","1158P","2358P","NY","F","2949","8TH AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","GRAY","0","2017","-","0",,,,,,"2026"
"1500363236","16547TV","NY","PAS",,"51","SUBN","CHEVR","P","37440","11490","12040","20260531","104","104","104","947152","104","0","1226P",,"Q","F","5720","BROWN PLACE",,"0","408","99",,"BBBBBBB","ALL","ALL","BK","0","2022","-","0",,,,,,"2026"
"1500146729","LAJ6779","NY","PAS",,"14","SUBN","BMW","P","22630","18950","22580","20270125","60","60","60","970932","60","0",,,"K","F","210","BRIGHTON 15 STREET",,"0","408","C",,"BBBBBBB","ALL","ALL","BL","0","2019","-","0",,,,,,"2026"
"1491736677","BDK3573","NY","PAS",,"40","SDN","SUBAR","P","67730","18950","61","20251129","72","72","72","977615","72","0","0640P","0635P","NY",,"10","OCEAN PARKWAY",,,"408","F1",,"BBBBBBB","ALL","ALL","GRY","0","2020","-","0",,,,,,"2026"
"1498206025","MMP2618","PA","PAS",,"40","SUBN",,"P","55730","82930","73190","20270531","81","81","81","973998","81","0","0757P",,,"F","704","LEXINGTON AVE",,"0","408","C3",,"BBBBBBB","ALL","ALL","GOLD","0","2015","-","0",,,,,,"2026"
"1494300023","HHD4583","PA","PAS",,"27",,"NISSA","P","36270","13113","11710","0","26","26","26","971820","26","0","0933A",,,"F","430","W 125",,"0","408","C",,"BBBBBBB","ALL","ALL","GREY","0","0","-","0",,,,,,"2026"
"1491049923","GZR9358","NY","PAS",,"48","SDN","NISSA","P","36420","8920","27120","20250928","46","46","46","980202","46","0","1120P",,"BX","F","2205","GRAND CONCOURSE",,"0","408","C4",,"BBBBBBB","ALL","ALL","GRAY","0","2023","-","0",,,,,,"2026"
"1496826670","HWF4732","NY","PAS",,"20","SUBN","JEEP","K","0","40404","40404","20260210","122","122","5","160110","5","0","0205P",,"NY","I",,"SB LOT 2",,"0","408","D",,"BBBBBBB","ALL","ALL","BLE","0","2029","-","0",,,,,,"2026"
"1497868178","HDT1201","NY","PAS",,"14","SDN","BMW","P","63430","13490","63340","20260207","88","88","88","960849","88","0","0650P",,,"O","125","NORTH PORTLAND AVE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","2014","-","0",,,,,,"2026"
"1326055781","GTP1290","NY","PAS",,"14","SUBN","AUDI","P","61090","40404","40404","20260910","109","109","109","980552","109","0","1223P","1221P","Q","F","39-22","ROOSEVELT AVE",,,"408","J2",,"BBBBBBB","ALL","ALL","BLACK","0","2025","-","0",,,,,,"2026"
"1500542611","LVT8688","NY","PAS",,"40","SDN","BMW","P","28320","77150","0","20250513","47","47","47","980754","47","0","0900P","2055P","BX","F",,"223 ST","WHITE PLAINS RD","0","408","E2",,"BBBBBBB","ALL","ALL","BLUE","0","2021","-","0",,,,,,"2026"
"1501198671","EFX2305","NY","PAS",,"21","SDN","NISSA","P","0","0","0","20260205","110","110","169","965601","169","0","0626P",,,"F",,"I/O 41 SEAVER WAY",,"0","408","D3",,"BBBBBBB","ALL","ALL","GRAY","0","0","-","0",,,,,,"2026"
"1499070962","LFZ3354","NY","PAS",,"51","SDN","BMW","P","53890","25540","25600","20251228","113","113","113","977593","113","0","0415A",,"Q","F","193-12","LINDEN BLVD",,"0","408","E2",,"BBBBBBB","ALL","ALL","OR","0","2014","-","0",,,,,,"2026"
"1499021549","LOO6907","NC","PAS",,"16","SDN","AUDI","P","64290","7540","7790","0","114","114","114","979716","114","0","0255A","0255A","Q","O","28-65","STEINWAY ST",,,"408","K2",,"BBBBBBB","ALL","ALL","GRY","0","2025","-","0",,,,,,"2026"
