StudentName,GroupName
Student_267,Group_1
Student_268,Group_1
Student_269,Group_19
Student_270,Group_20
Student_271,Group_17
Student_272,Group_11
Student_273,Group_12
Student_274,Group_15
Student_275,Group_18
Student_276,Group_3
Student_277,Group_18
Student_278,Group_1
Student_279,Group_15
Student_280,Group_16
Student_281,Group_1
Student_282,Group_17
Student_283,Group_3
Student_284,Group_17
Student_285,Group_3
Student_286,Group_5
Student_287,Group_18
Student_288,Group_10
Student_289,Group_5
Student_290,Group_14
Student_291,Group_7
Student_292,Group_16
Student_293,Group_11
Student_294,Group_10
Student_295,Group_17
Student_296,Group_5
Student_297,Group_7
Student_298,Group_19
Student_299,Group_12
Student_300,Group_11
Student_301,Group_10
Student_302,Group_15
Student_303,Group_1
Student_304,Group_1
Student_305,Group_17
Student_306,Group_7
Student_307,Group_1
Student_308,Group_11
Student_309,Group_17
Student_310,Group_5
Student_311,Group_10
Student_312,Group_10
Student_313,Group_17
Student_314,Group_6
Student_315,Group_11
Student_316,Group_6
Student_317,Group_6
Student_318,Group_17
Student_319,Group_7
Student_320,Group_8
Student_321,Group_18
Student_322,Group_12
Student_323,Group_16
Student_324,Group_16
Student_325,Group_2
Student_326,Group_20
Student_327,Group_9
Student_328,Group_6
Student_329,Group_13
Student_330,Group_8
Student_331,Group_3
Student_332,Group_11
Student_333,Group_6
Student_334,Group_10
Student_335,Group_10
Student_336,Group_3
Student_337,Group_13
Student_338,Group_20
Student_339,Group_12
Student_340,Group_19
Student_341,Group_16
Student_342,Group_15
Student_343,Group_14
Student_344,Group_19
Student_345,Group_14
Student_346,Group_16
Student_347,Group_20
Student_348,Group_7
Student_349,Group_18
Student_350,Group_6
Student_351,Group_19
Student_352,Group_12
Student_353,Group_4
Student_354,Group_6
Student_355,Group_12
Student_356,Group_11
Student_357,Group_15
Student_358,Group_2
Student_359,Group_6
Student_360,Group_6
Student_361,Group_2
Student_362,Group_14
Student_363,Group_10
Student_364,Group_19
Student_365,Group_16
Student_366,Group_7
Student_367,Group_10
Student_368,Group_1
Student_369,Group_20
Student_370,Group_7
Student_371,Group_20
Student_372,Group_9
Student_373,Group_6
Student_374,Group_19
Student_375,Group_17
Student_376,Group_13
Student_377,Group_16
Student_378,Group_20
Student_379,Group_18
Student_380,Group_18
Student_381,Group_10
Student_382,Group_1
Student_383,Group_12
Student_384,Group_16
Student_385,Group_7
Student_386,Group_8
Student_387,Group_20
Student_388,Group_9
Student_389,Group_4
Student_390,Group_12
Student_391,Group_18
Student_392,Group_9
Student_393,Group_8
Student_394,Group_7
Student_395,Group_15
Student_396,Group_19
Student_397,Group_3
Student_398,Group_3
Student_399,Group_10
Student_400,Group_8
Student_401,Group_16
Student_402,Group_9
Student_403,Group_17
Student_404,Group_19
Student_405,Group_13
Student_406,Group_19
Student_407,Group_13
Student_408,Group_10
Student_409,Group_2
Student_410,Group_15
Student_411,Group_7
Student_412,Group_14
Student_413,Group_3
Student_414,Group_7
Student_415,Group_15
Student_416,Group_9
Student_417,Group_13
Student_418,Group_9
Student_419,Group_20
Student_420,Group_19
Student_421,Group_7
Student_422,Group_10
Student_423,Group_11
Student_424,Group_20
Student_425,Group_9
Student_426,Group_11
Student_427,Group_20
Student_428,Group_20
Student_429,Group_15
Student_430,Group_14
Student_431,Group_17
Student_432,Group_14
Student_433,Group_19
Student_434,Group_19
Student_435,Group_17
Student_436,Group_3
Student_437,Group_20
Student_438,Group_20
Student_439,Group_15
Student_440,Group_15
Student_441,Group_6
Student_442,Group_17
Student_443,Group_19
Student_444,Group_14
Student_445,Group_5
Student_446,Group_8
Student_447,Group_14
Student_448,Group_1
Student_449,Group_20
Student_450,Group_13
Student_451,Group_1
Student_452,Group_8
Student_453,Group_5
Student_454,Group_4
Student_455,Group_9
Student_456,Group_13
Student_457,Group_15
Student_458,Group_12
Student_459,Group_11
Student_460,Group_14
Student_461,Group_4
Student_462,Group_5
Student_463,Group_13
Student_464,Group_6
Student_465,Group_20
Student_466,Group_4
Student_467,Group_6
Student_468,Group_6
Student_469,Group_13
Student_470,Group_19
Student_471,Group_14
Student_472,Group_7
Student_473,Group_8
Student_474,Group_20
Student_475,Group_7
Student_476,Group_13
Student_477,Group_6
Student_478,Group_6
Student_479,Group_11
Student_480,Group_15
Student_481,Group_5
Student_482,Group_14
Student_483,Group_1
Student_484,Group_11
Student_485,Group_13
Student_486,Group_5
Student_487,Group_7
Student_488,Group_9
Student_489,Group_16
Student_490,Group_20
Student_491,Group_2
Student_492,Group_14
Student_493,Group_3
Student_494,Group_5
Student_495,Group_10
Student_496,Group_1
Student_497,Group_18
Student_498,Group_4
Student_499,Group_19
Student_500,Group_16
Student_501,Group_15
Student_502,Group_9
Student_503,Group_5
Student_504,Group_9
Student_505,Group_7
Student_506,Group_3
Student_507,Group_5
Student_508,Group_4
Student_509,Group_20
Student_510,Group_20
Student_511,Group_13
Student_512,Group_4
Student_513,Group_9
Student_514,Group_4
Student_515,Group_11
Student_516,Group_7
Student_517,Group_7
Student_518,Group_16
Student_519,Group_4
Student_520,Group_2
Student_521,Group_2
Student_522,Group_14
Student_523,Group_5
Student_524,Group_1
Student_525,Group_2
Student_526,Group_4
Student_527,Group_1
Student_528,Group_5
Student_529,Group_9
Student_530,Group_2
Student_531,Group_18
Student_532,Group_11
Student_533,Group_18
Student_534,Group_4
Student_535,Group_9
Student_536,Group_13
Student_537,Group_3
Student_538,Group_1
Student_539,Group_10
Student_540,Group_20
Student_541,Group_3
Student_542,Group_13
Student_543,Group_18
Student_544,Group_19
Student_545,Group_11
Student_546,Group_8
Student_547,Group_1
Student_548,Group_13
Student_549,Group_19
Student_550,Group_17
Student_551,Group_13
Student_552,Group_3
Student_553,Group_14
Student_554,Group_19
Student_555,Group_7
Student_556,Group_13
Student_557,Group_20
Student_558,Group_19
Student_559,Group_8
Student_560,Group_13
Student_561,Group_13
Student_562,Group_10
Student_563,Group_15
Student_564,Group_15
Student_565,Group_18
Student_566,Group_12
Student_567,Group_10
Student_568,Group_2
Student_569,Group_11
Student_570,Group_6
Student_571,Group_17
Student_572,Group_13
Student_573,Group_12
Student_574,Group_5
Student_575,Group_5
Student_576,Group_15
Student_577,Group_15
Student_578,Group_16
Student_579,Group_9
Student_580,Group_6
Student_581,Group_5
Student_582,Group_9
Student_583,Group_5
Student_584,Group_6
Student_585,Group_13
Student_586,Group_10
Student_587,Group_20
Student_588,Group_20
Student_589,Group_14
Student_590,Group_14
Student_591,Group_16
Student_592,Group_4
Student_593,Group_15
Student_594,Group_14
Student_595,Group_4
Student_596,Group_8
Student_597,Group_4
Student_598,Group_18
Student_599,Group_5
Student_600,Group_6
Student_601,Group_14
Student_602,Group_5
Student_603,Group_8
Student_604,Group_14
Student_605,Group_17
Student_606,Group_8
Student_607,Group_19
Student_608,Group_6
Student_609,Group_17
Student_610,Group_3
Student_611,Group_12
Student_612,Group_7
Student_613,Group_11
Student_614,Group_14
Student_615,Group_1
Student_616,Group_6
Student_617,Group_17
Student_618,Group_3
Student_619,Group_6
Student_620,Group_4
Student_621,Group_4
Student_622,Group_1
Student_623,Group_9
Student_624,Group_13
Student_625,Group_12
Student_626,Group_14
Student_627,Group_16
Student_628,Group_4
Student_629,Group_13
Student_630,Group_14
Student_631,Group_13
Student_632,Group_2
Student_633,Group_2
Student_634,Group_2
Student_635,Group_9
Student_636,Group_1
Student_637,Group_9
Student_638,Group_4
Student_639,Group_18
Student_640,Group_1
Student_641,Group_4
Student_642,Group_9
Student_643,Group_8
Student_644,Group_20
Student_645,Group_1
Student_646,Group_1
Student_647,Group_14
Student_648,Group_2
Student_649,Group_20
Student_650,Group_2
Student_651,Group_13
Student_652,Group_4
Student_653,Group_1
Student_654,Group_10
Student_655,Group_15
Student_656,Group_3
Student_657,Group_13
Student_658,Group_14
Student_659,Group_16
Student_660,Group_18
Student_661,Group_2
Student_662,Group_8
Student_663,Group_18
Student_664,Group_17
Student_665,Group_19
Student_666,Group_15
Student_667,Group_17
Student_668,Group_1
Student_669,Group_19
Student_670,Group_4
Student_671,Group_7
Student_672,Group_12
Student_673,Group_10
Student_674,Group_7
Student_675,Group_3
Student_676,Group_11
Student_677,Group_19
Student_678,Group_1
Student_679,Group_20
Student_680,Group_13
Student_681,Group_15
Student_682,Group_4
Student_683,Group_2
Student_684,Group_3
Student_685,Group_15
Student_686,Group_17
Student_687,Group_19
Student_688,Group_9
Student_689,Group_7
Student_690,Group_16
Student_691,Group_20
Student_692,Group_10
Student_693,Group_19
Student_694,Group_12
Student_695,Group_18
Student_696,Group_15
Student_697,Group_4
Student_698,Group_7
Student_699,Group_15
Student_700,Group_18
Student_701,Group_18
Student_702,Group_10
Student_703,Group_10
Student_704,Group_13
Student_705,Group_19
Student_706,Group_12
Student_707,Group_12
Student_708,Group_9
Student_709,Group_7
Student_710,Group_10
Student_711,Group_14
Student_712,Group_14
Student_713,Group_10
Student_714,Group_10
Student_715,Group_8
Student_716,Group_11
Student_717,Group_13
Student_718,Group_7
Student_719,Group_8
Student_720,Group_4
Student_721,Group_19
Student_722,Group_5
Student_723,Group_3
Student_724,Group_13
Student_725,Group_2
Student_726,Group_19
Student_727,Group_16
Student_728,Group_12
Student_729,Group_12
Student_730,Group_5
Student_731,Group_17
Student_732,Group_7
Student_733,Group_8
Student_734,Group_14
Student_735,Group_13
Student_736,Group_19
Student_737,Group_3
Student_738,Group_3
Student_739,Group_12
Student_740,Group_7
Student_741,Group_1
Student_742,Group_14
Student_743,Group_4
Student_744,Group_18
Student_745,Group_14
Student_746,Group_19
Student_747,Group_14
Student_748,Group_12
Student_749,Group_3
Student_750,Group_11
Student_751,Group_6
Student_752,Group_15
Student_753,Group_7
Student_754,Group_13
Student_755,Group_6
Student_756,Group_13
Student_757,Group_18
Student_758,Group_4
Student_759,Group_14
Student_760,Group_1
Student_761,Group_10
Student_762,Group_2
Student_763,Group_13
Student_764,Group_10
Student_765,Group_5
Student_766,Group_15
Student_767,Group_11
Student_768,Group_15
Student_769,Group_3
Student_770,Group_7
Student_771,Group_6
Student_772,Group_16
Student_773,Group_15
Student_774,Group_1
Student_775,Group_16
Student_776,Group_19
Student_777,Group_3
Student_778,Group_12
Student_779,Group_5
Student_780,Group_19
Student_781,Group_12
Student_782,Group_15
Student_783,Group_17
Student_784,Group_12
Student_785,Group_9
Student_786,Group_15
Student_787,Group_1
Student_788,Group_5
Student_789,Group_15
Student_790,Group_1
Student_791,Group_12
Student_792,Group_10
Student_793,Group_2
Student_794,Group_7
Student_795,Group_14
Student_796,Group_9
Student_797,Group_3
Student_798,Group_8
Student_799,Group_9
Student_800,Group_14
Student_801,Group_3
Student_802,Group_10
Student_803,Group_8
Student_804,Group_14
Student_805,Group_3
Student_806,Group_19
Student_807,Group_16
Student_808,Group_4
Student_809,Group_14
Student_810,Group_4
Student_811,Group_17
Student_812,Group_1
Student_813,Group_11
Student_814,Group_6
Student_815,Group_3
Student_816,Group_8
Student_817,Group_11
Student_818,Group_8
Student_819,Group_3
Student_820,Group_16
Student_821,Group_18
Student_822,Group_17
Student_823,Group_6
Student_824,Group_13
Student_825,Group_5
Student_826,Group_20
Student_827,Group_2
Student_828,Group_4
Student_829,Group_12
Student_830,Group_3
Student_831,Group_19
Student_832,Group_11
Student_833,Group_20
Student_834,Group_13
Student_835,Group_17
Student_836,Group_16
Student_837,Group_11
Student_838,Group_1
Student_839,Group_18
Student_840,Group_13
Student_841,Group_18
Student_842,Group_6
Student_843,Group_4
Student_844,Group_18
Student_845,Group_18
Student_846,Group_10
Student_847,Group_6
Student_848,Group_16
Student_849,Group_8
Student_850,Group_2
Student_851,Group_18
Student_852,Group_8
Student_853,Group_2
Student_854,Group_19
Student_855,Group_19
Student_856,Group_8
Student_857,Group_10
Student_858,Group_6
Student_859,Group_7
Student_860,Group_13
Student_861,Group_20
Student_862,Group_20
Student_863,Group_3
Student_864,Group_11
Student_865,Group_1
Student_866,Group_7
Student_867,Group_12
Student_868,Group_6
Student_869,Group_19
Student_870,Group_12
Student_871,Group_16
Student_872,Group_17
Student_873,Group_19
Student_874,Group_7
Student_875,Group_13
Student_876,Group_2
Student_877,Group_19
Student_878,Group_14
Student_879,Group_5
Student_880,Group_14
Student_881,Group_3
Student_882,Group_3
Student_883,Group_9
Student_884,Group_18
Student_885,Group_6
Student_886,Group_19
Student_887,Group_20
Student_888,Group_13
Student_889,Group_3
Student_890,Group_20
Student_891,Group_10
Student_892,Group_14
Student_893,Group_16
Student_894,Group_2
Student_895,Group_5
Student_896,Group_16
Student_897,Group_7
Student_898,Group_3
Student_899,Group_10
Student_900,Group_16
Student_901,Group_17
Student_902,Group_1
Student_903,Group_5
Student_904,Group_3
Student_905,Group_10
Student_906,Group_13
Student_907,Group_10
Student_908,Group_2
Student_909,Group_20
Student_910,Group_5
Student_911,Group_15
Student_912,Group_16
Student_913,Group_5
Student_914,Group_20
Student_915,Group_7
Student_916,Group_8
Student_917,Group_9
Student_918,Group_14
Student_919,Group_7
Student_920,Group_10
Student_921,Group_2
Student_922,Group_6
Student_923,Group_12
Student_924,Group_16
Student_925,Group_12
Student_926,Group_4
Student_927,Group_1
Student_928,Group_18
Student_929,Group_2
Student_930,Group_14
Student_931,Group_3
Student_932,Group_12
Student_933,Group_7
Student_934,Group_4
Student_935,Group_12
Student_936,Group_17
Student_937,Group_3
Student_938,Group_5
Student_939,Group_14
Student_940,Group_4
Student_941,Group_11
Student_942,Group_10
Student_943,Group_1
Student_944,Group_11
Student_945,Group_11
Student_946,Group_11
Student_947,Group_11
Student_948,Group_7
Student_949,Group_19
Student_950,Group_10
Student_951,Group_2
Student_952,Group_10
Student_953,Group_19
Student_954,Group_14
Student_955,Group_16
Student_956,Group_7
Student_957,Group_13
Student_958,Group_6
Student_959,Group_6
Student_960,Group_9
Student_961,Group_18
Student_962,Group_3
Student_963,Group_17
Student_964,Group_9
Student_965,Group_11
Student_966,Group_7
Student_967,Group_19
Student_968,Group_6
Student_969,Group_13
Student_970,Group_13
Student_971,Group_6
Student_972,Group_1
Student_973,Group_15
Student_974,Group_15
Student_975,Group_6
Student_976,Group_4
Student_977,Group_6
Student_978,Group_11
Student_979,Group_4
Student_980,Group_14
Student_981,Group_12
Student_982,Group_5
Student_983,Group_19
Student_984,Group_4
Student_985,Group_19
Student_986,Group_15
Student_987,Group_20
Student_988,Group_11
Student_989,Group_7
Student_990,Group_11
Student_991,Group_7
Student_992,Group_1
Student_993,Group_10
Student_994,Group_5
Student_995,Group_13
Student_996,Group_3
Student_997,Group_4
Student_998,Group_18
Student_999,Group_14
Student_1000,Group_20
